t,water
1186,2192000
1187,2192000
1188,2191000
1189,2192000
1190,2192000
1191,2192000
1192,2191000
1193,2190000
1194,2191000
1195,2191000
1196,2190000
1197,2191000
1198,2191000
1199,2191000
1200,2192000
1201,2191000
1202,2192000
1203,2192000
1204,2192000
1205,2191000
1206,2192000
1207,2192000
1208,2193000
1209,2192000
1210,2193000
1211,2194000
1212,2193000
1213,2194000
1214,2193000
1215,2193000
1216,2194000
1217,2194000
1218,2192000
1219,2192000
1220,2193000
1221,2193000
1222,2192000
1223,2193000
1224,2193000
1225,2194000
1226,2193000
1227,2193000
1228,2194000
1229,2195000
1230,2193000
1231,2194000
1232,2194000
1233,2195000
1234,2194000
1235,2195000
1236,2196000
1237,2196000
1238,2196000
1239,2196000
1240,2196000
1241,2196000
1242,2197000
1243,2196000
1244,2195000
1245,2196000
1246,2197000
1247,2195000
1248,2195000
1249,2196000
1250,2196000
1251,2194000
1252,2195000
1253,2196000
1254,2195000
1255,2195000
1256,2195000
1257,2196000
1258,2197000
1259,2197000
1260,2197000
1261,2197000
1262,2198000
1263,2198000
1264,2197000
1265,2198000
1266,2198000
1267,2199000
1268,2198000
1269,2198000
1270,2199000
1271,2200000
1272,2199000
1273,2200000
1274,2200000
1275,2201000
1276,2201000
1277,2199000
1278,2200000
1279,2200000
1280,2200000
1281,2201000
1282,2201000
1283,2202000
1284,2202000
1285,2203000
1286,2203000
1287,2203000
1288,2204000
1289,2204000
1290,2203000
1291,2203000
1292,2204000
1293,2204000
1294,2204000
1295,2205000
1296,2205000
1297,2206000
1298,2205000
1299,2206000
1300,2206000
1301,2207000
1302,2206000
1303,2206000
1304,2207000
1305,2207000
1306,2207000
1307,2207000
1308,2207000
1309,2208000
1310,2208000
1311,2207000
1312,2208000
1313,2208000
1314,2208000
1315,2207000
1316,2208000
1317,2208000
1318,2209000
1319,2208000
1320,2208000
1321,2209000
1322,2209000
1323,2208000
1324,2209000
1325,2209000
1326,2210000
1327,2209000
1328,2209000
1329,2210000
1330,2211000
1331,2211000
1332,2211000
1333,2211000
1334,2211000
1335,2211000
1336,2211000
1337,2211000
1338,2211000
1339,2212000
1340,2210000
1341,2211000
1342,2211000
1343,2212000
1344,2211000
1345,2211000
1346,2212000
1347,2212000
1348,2211000
1349,2211000
